chr1,start1,end1,chr2,start2,end2
ChrA1,18103,18487,ChrB10,469783,470113
ChrA1,18931,19429,ChrB10,466520,467033
ChrA1,20242,21523,ChrB7,903473,904748
ChrA1,21740,22967,ChrB10,460381,461593
ChrA1,23316,23652,ChrB10,459794,460418
ChrA1,24299,24566,ChrB10,458076,458361
ChrA1,25204,26962,ChrB7,886072,887875
ChrA1,27111,28023,ChrB10,451019,451934
ChrA1,28755,30567,ChrB7,880419,882231
ChrA1,32694,34626,ChrB15,45759,47574
ChrA1,35019,35772,ChrB15,47932,48643
ChrA1,36618,37323,ChrB15,48863,49448
ChrA1,37794,39291,ChrB15,53097,54552
ChrA1,39478,39991,ChrB15,54594,55104
ChrA1,40867,42169,ChrB14,18000,19302
ChrA1,42623,43058,ChrB14,22833,23274
ChrA1,44646,46017,ChrB14,24047,27173
ChrA1,46800,48063,ChrB14,31943,33188
ChrA1,48292,49231,ChrB14,33293,34235
ChrA1,50221,53197,ChrB14,34695,37422
ChrA1,53519,54152,ChrB15,60382,61024
ChrA1,54912,55788,ChrB14,37699,38554
ChrA1,55880,59813,ChrB15,61324,65350
ChrA1,60722,61523,ChrB15,67560,68754
ChrA1,62230,63229,ChrB14,42070,43075
ChrA1,63856,65275,ChrB15,71299,72715
ChrA1,67480,69160,ChrB14,54121,55897
ChrA1,69670,70219,ChrB15,77559,78114
ChrA1,71000,71946,ChrB15,80347,81190
ChrA1,72463,73585,ChrB15,81786,82920
ChrA1,80225,82211,ChrB15,97550,99488
ChrA1,83014,83542,ChrB14,65743,66052
ChrA1,86989,88396,ChrB15,99808,100957
ChrA1,91127,91628,ChrB15,103316,103925
ChrA1,91846,96736,ChrB14,71672,76583
ChrA1,99439,100666,ChrB14,82805,84017
ChrA1,101865,102735,ChrB14,87896,88736
ChrA1,106790,107702,ChrB14,103133,104102
ChrA1,109752,110217,ChrB14,108466,108928
ChrA1,113386,114442,ChrB4,1436929,1438015
ChrA1,116989,117994,ChrB4,1431011,1431896
ChrA1,118434,120429,ChrB4,1429187,1430789
ChrA1,120507,121479,ChrB15,138106,139045
ChrA1,121849,124216,ChrB4,1424819,1427207
ChrA1,124256,126425,ChrB15,139226,141347
ChrA1,126796,128602,ChrB4,1422762,1424688
ChrA1,129038,130016,ChrB15,141583,142555
ChrA1,130577,131585,ChrB15,142814,143696
ChrA1,134561,137474,ChrB15,147381,150276
ChrA1,137991,138885,ChrB2,545027,545978
ChrA1,139249,139999,ChrB2,547459,548194
ChrA1,140632,143683,ChrB15,162355,165331
ChrA1,144148,145378,ChrB15,168726,169974
ChrA1,156127,156928,ChrB15,180557,181427
ChrA1,157487,161051,ChrB15,181681,185212
ChrA1,161238,162111,ChrB15,185847,186723
ChrA1,162730,163270,ChrB2,513043,513583
ChrA1,163811,167750,ChrB15,189657,193542
ChrA1,168526,168997,ChrB7,635711,636152
ChrA1,169410,170376,ChrB4,372687,373608
ChrA1,170783,172205,ChrB15,197219,198725
ChrA1,176064,177216,ChrB15,204730,205885
ChrA1,177525,178773,ChrB4,392658,393912
ChrA1,179144,180728,ChrB4,397536,399129
ChrA1,181204,182380,ChrB4,399339,400638
ChrA1,185075,185474,ChrB2,110124,110539
ChrA1,186297,187104,ChrB2,112800,113427
ChrA1,189172,190375,ChrB2,115572,116829
ChrA1,193959,195273,ChrB2,122752,124759
ChrA1,196291,197806,ChrB16,319225,320767
ChrA1,198477,201906,ChrB15,730007,733457
ChrA1,202041,202722,ChrB16,320961,321630
ChrA1,203010,205083,ChrB15,727511,729644
ChrA1,205550,207230,ChrB15,725563,727234
ChrA1,207625,209080,ChrB16,322070,323744
ChrA1,209345,210011,ChrB15,721945,722608
ChrA1,210575,211409,ChrB16,327863,328730
ChrA1,212664,214251,ChrB15,718652,720065
ChrA1,214392,215607,ChrB15,717085,718384
ChrA1,216521,218618,ChrB16,329605,331699
ChrA1,219322,220453,ChrB15,715592,716837
ChrA1,220668,223593,ChrB16,332099,335486
ChrA1,224256,226713,ChrB15,712865,715331
ChrA1,227180,228365,ChrB16,335952,337143
ChrA1,228733,229285,ChrB2,567874,568426
ChrA1,229903,230323,ChrB2,571467,571890
ChrA1,230666,231350,ChrB16,349118,349865
ChrA1,234242,236012,ChrB2,576343,578086
ChrA1,236433,237000,ChrB2,578363,578984
ChrA1,237566,238553,ChrB2,583719,584658
ChrA1,238639,240076,ChrB16,357999,359406
ChrA1,240465,241863,ChrB16,361871,363362
ChrA1,242290,243667,ChrB16,364951,366430
ChrA1,243960,244170,ChrB16,366528,366735
ChrA1,244540,245596,ChrB16,366926,368018
ChrA1,245821,248395,ChrB2,586546,589114
ChrA1,249335,251279,ChrB16,370977,372921
ChrA1,253387,254905,ChrB16,375501,376953
ChrA1,262022,264038,ChrB12,445523,447575
ChrA1,265458,267447,ChrB12,442957,444688
ChrA1,267985,268765,ChrB12,440466,441288
ChrA1,270972,272115,ChrB4,792347,793889
ChrA1,272474,273980,ChrB4,790327,791848
ChrA1,274601,275294,ChrB4,789448,790069
ChrA1,276356,279200,ChrB4,786305,789221
ChrA1,279627,280524,ChrB12,432822,433725
ChrA1,280663,281368,ChrB12,432167,432773
ChrA1,281825,284477,ChrB12,429676,432016
ChrA1,287700,288261,ChrB4,781422,781950
ChrA1,288799,289453,ChrB4,780389,781100
ChrA1,289621,290761,ChrB12,417005,418109
ChrA1,291097,292192,ChrB4,770356,771454
ChrA1,292998,293487,ChrB4,768511,769000
ChrA1,293818,295042,ChrB4,766735,767971
ChrA1,296952,302685,ChrB4,755627,763874
ChrA1,304415,305783,ChrB4,753674,755066
ChrA1,310085,311321,ChrB12,402793,404062
ChrA1,311612,313235,ChrB4,746737,748357
ChrA1,313621,314389,ChrB12,394764,395520
ChrA1,317956,318316,ChrB12,385533,386175
ChrA1,318734,319421,ChrB12,384724,385408
ChrA1,319884,324954,ChrB4,734900,739997
ChrA1,325380,327333,ChrB4,728258,730250
ChrA1,328039,329347,ChrB12,371619,372927
ChrA1,335767,337366,ChrB4,716789,718460
ChrA1,338326,339439,ChrB12,347046,348180
ChrA1,340598,342533,ChrB4,713339,715379
ChrA1,342776,343214,ChrB12,341324,341588
ChrA1,346151,347270,ChrB12,336230,337265
ChrA1,347873,348728,ChrB12,326512,327415
ChrA1,348899,349502,ChrB4,693584,694175
ChrA1,350347,352003,ChrB4,691548,693261
ChrA1,352237,352477,ChrB4,691013,691214
ChrA1,354060,355971,ChrB4,688226,690533
ChrA1,356770,359452,ChrB12,323543,326225
ChrA1,360220,360535,ChrB4,682174,682492
ChrA1,361016,362075,ChrB4,680495,681617
ChrA1,362208,363528,ChrB12,320700,322080
ChrA1,365981,367355,ChrB4,676101,677802
ChrA1,367803,369549,ChrB12,316106,317951
ChrA1,369896,371162,ChrB12,300672,301989
ChrA1,375151,375373,ChrB5,550864,551122
ChrA1,376042,377461,ChrB4,665348,666770
ChrA1,377614,378613,ChrB5,548420,549517
ChrA1,379361,382604,ChrB4,661172,664910
ChrA1,382855,384073,ChrB5,546816,548079
ChrA1,385070,385985,ChrB5,539463,540363
ChrA1,387644,389966,ChrB5,527081,529418
ChrA1,390412,391096,ChrB5,525973,526651
ChrA1,395715,397920,ChrB5,518215,520771
ChrA1,400670,402494,ChrB4,626707,628534
ChrA1,403222,404272,ChrB4,625065,625998
ChrA1,404722,405835,ChrB4,618496,619645
ChrA1,410847,412083,ChrB4,612072,613251
ChrA1,412495,414118,ChrB4,610440,611925
ChrA1,415889,418361,ChrB4,607303,610081
ChrA1,418491,420882,ChrB5,484787,487193
ChrA1,421356,421677,ChrB4,603063,603399
ChrA1,422653,423670,ChrB5,483324,484341
ChrA1,424055,425432,ChrB5,472656,473988
ChrA1,425515,426814,ChrB4,598467,599688
ChrA1,427464,428388,ChrB4,597155,598082
ChrA1,429081,429816,ChrB5,465302,466025
ChrA1,430445,432470,ChrB5,462967,464842
ChrA1,432706,435508,ChrB4,593892,596583
ChrA1,436253,436631,ChrB4,592438,592948
ChrA1,438721,440311,ChrB4,589760,591344
ChrA1,441764,443003,ChrB5,460525,461740
ChrA1,448593,449652,ChrB6,203742,204750
ChrA1,450307,451975,ChrB8,141893,143558
ChrA1,452901,454293,ChrB8,140010,141402
ChrA1,454419,455532,ChrB8,138693,139851
ChrA1,468369,475029,ChrB6,184501,191338
ChrA1,475601,477575,ChrB15,274956,276939
ChrA1,479504,481532,ChrB15,278055,280086
ChrA1,481800,483012,ChrB15,280271,281498
ChrA1,483446,485705,ChrB6,162487,164746
ChrA1,485854,488902,ChrB15,282420,285426
ChrA1,489666,491154,ChrB2,488904,490392
ChrA1,491750,493115,ChrB2,487198,488380
ChrA1,493681,495598,ChrB2,484741,486691
ChrA1,496026,496617,ChrB2,483969,484503
ChrA1,497051,497486,ChrB16,704224,704656
ChrA1,500724,501381,ChrB2,479337,480323
ChrA1,503906,505103,ChrB16,698868,700014
ChrA1,510217,517570,ChrB2,505667,512774
ChrA1,518555,521312,ChrB2,501803,504287
ChrA1,522438,524190,ChrB2,499651,501442
ChrA1,524321,526352,ChrB2,497162,499277
ChrA1,528173,529766,ChrB2,495591,496869
ChrA1,530187,531270,ChrB2,493080,494115
ChrA1,531392,532715,ChrB16,704853,706593
ChrA1,533687,535460,ChrB15,286171,287950
ChrA1,536075,537728,ChrB6,165066,166566
ChrA1,541906,543100,ChrB15,290880,292074
ChrA1,543605,547466,ChrB10,63804,67569
ChrA1,547595,548609,ChrB3,193296,194298
ChrA1,549052,550234,ChrB3,191833,193018
ChrA1,552344,556481,ChrB3,186488,190169
ChrA1,559196,559589,ChrB10,74909,75302
ChrA1,560776,561480,ChrB10,75932,76474
ChrA1,562515,565164,ChrB10,76802,79262
ChrA1,566642,569120,ChrB3,173825,176438
ChrA1,569421,569745,ChrB10,83447,83819
ChrA1,573683,574664,ChrB10,87582,88560
ChrA1,575045,578117,ChrB10,92052,94530
ChrA1,578924,579737,ChrB10,95091,95922
ChrA1,579838,581200,ChrB11,113214,114627
ChrA1,582094,582664,ChrB10,101149,101779
ChrA1,583092,585216,ChrB10,102226,104428
ChrA1,586350,587925,ChrB11,118792,120304
ChrA1,588359,591248,ChrB11,122516,125543
ChrA1,591626,592829,ChrB11,125758,127042
ChrA1,594481,597502,ChrB11,127474,130261
ChrA1,600976,602743,ChrB10,111665,113333
ChrA1,603609,606372,ChrB11,137931,140691
ChrA1,606815,608294,ChrB10,113877,115629
ChrA1,613785,615027,ChrB10,122264,122948
ChrA1,616182,618708,ChrB10,123835,126328
ChrA1,619727,621086,ChrB10,129284,130643
ChrA1,621771,624363,ChrB10,131100,133935
ChrA1,624918,626541,ChrB10,134331,135933
ChrA1,628133,630920,ChrB11,562546,565138
ChrA1,631364,632870,ChrB11,560788,562297
ChrA1,634786,635467,ChrB10,140436,141138
ChrA1,635680,636922,ChrB10,141418,142567
ChrA1,638323,639853,ChrB10,143291,144701
ChrA1,640378,640864,ChrB10,147100,147577
ChrA1,646493,648320,ChrB11,549447,551367
ChrA1,649117,661423,ChrB11,535646,547925
ChrA1,662272,664420,ChrB12,568566,570627
ChrA1,664654,665764,ChrB12,570775,571858
ChrA1,666284,667871,ChrB4,199995,201582
ChrA1,668051,668966,ChrB4,201718,202570
ChrA1,669455,671513,ChrB4,203038,205111
ChrA1,671765,676925,ChrB4,205359,210561
ChrA1,677975,678608,ChrB4,211374,212046
ChrA1,678795,679110,ChrB12,573465,573918
ChrA1,679874,683672,ChrB4,107207,111029
ChrA1,690934,693820,ChrB4,118706,121592
ChrA1,694615,696124,ChrB4,122215,123589
ChrA1,698453,699332,ChrB4,125615,126449
ChrA1,700188,703593,ChrB4,126786,130002
ChrA1,705447,706593,ChrB4,222426,223740
ChrA1,711741,712857,ChrB4,231023,231899
ChrA1,713544,715308,ChrB4,135895,137539
ChrA1,718293,720774,ChrB4,236156,238664
ChrA1,721578,722120,ChrB4,239018,239606
ChrA1,723204,724896,ChrB4,139521,141114
ChrA1,725129,725618,ChrB4,141208,141721
ChrA1,725896,726295,ChrB4,241417,241840
ChrA1,730390,733906,ChrB16,721036,724717
