chr1,start1,end1,chr2,start2,end2
ChrA1,4627,6151,ChrB11,6106,7528
ChrA1,10101,11511,ChrB2,427697,429101
ChrA1,14236,15211,ChrB7,780398,781379
ChrA1,20633,21338,ChrB9,423808,424513
ChrA1,22023,25698,ChrB10,299156,302849
ChrA1,29716,32755,ChrB9,48090,51306
ChrA1,33083,35012,ChrB9,51758,53708
ChrA1,38765,39827,ChrB9,55197,56379
ChrA1,40329,41961,ChrB11,631151,632801
ChrA1,44586,48276,ChrB11,626792,630380
ChrA1,49432,49774,ChrB11,625863,626205
ChrA1,51264,53081,ChrB9,61012,62728
ChrA1,53303,58550,ChrB11,619804,625432
ChrA1,59179,60105,ChrB11,617995,618750
ChrA1,60377,63845,ChrB9,69790,73453
ChrA1,64396,65971,ChrB9,74183,75773
ChrA1,67684,69811,ChrB7,39022,41149
ChrA1,69860,71636,ChrB6,246145,248134
ChrA1,72232,73981,ChrB7,41497,43174
ChrA1,74186,75329,ChrB7,43306,44509
ChrA1,75434,75950,ChrB7,44651,45197
ChrA1,76349,79208,ChrB7,45444,48459
ChrA1,80885,81668,ChrB7,48612,49365
ChrA1,81974,84857,ChrB7,49551,52434
ChrA1,87117,89178,ChrB7,53786,55796
ChrA1,92560,93592,ChrB2,783672,784572
ChrA1,94391,95993,ChrB6,239991,241437
ChrA1,96382,98968,ChrB7,59121,61854
ChrA1,99291,100221,ChrB7,62074,63002
ChrA1,100258,100867,ChrB7,63047,63620
ChrA1,102035,102737,ChrB6,239113,239827
ChrA1,102801,103431,ChrB6,238457,239060
ChrA1,103745,104579,ChrB6,237367,238255
ChrA1,104686,107668,ChrB6,234241,237250
ChrA1,108737,110648,ChrB7,67597,69331
ChrA1,111158,112508,ChrB5,235769,237119
ChrA1,113307,115926,ChrB7,69670,72547
ChrA1,115965,116340,ChrB7,72748,73158
ChrA1,116611,117037,ChrB7,73339,73711
ChrA1,117214,117769,ChrB5,234936,235491
ChrA1,118368,120123,ChrB5,232460,234740
ChrA1,120384,122730,ChrB5,229794,231987
ChrA1,124160,125153,ChrB7,76893,77907
ChrA1,125584,126721,ChrB5,226857,228252
ChrA1,128138,129287,ChrB7,79111,80365
ChrA1,130077,131901,ChrB5,223366,225199
ChrA1,132422,133565,ChrB7,80658,81186
ChrA1,134213,134804,ChrB5,221845,222403
ChrA1,135062,135920,ChrB7,81425,82292
ChrA1,136237,136495,ChrB7,82373,82736
ChrA1,136822,138445,ChrB7,82877,84257
ChrA1,139354,141664,ChrB7,84884,87302
ChrA1,143921,145160,ChrB7,87980,89339
ChrA1,146029,147235,ChrB7,90053,91247
ChrA1,149586,151293,ChrB3,297048,298605
ChrA1,152382,153498,ChrB13,251838,252990
ChrA1,157215,158802,ChrB13,256091,258416
ChrA1,159688,162526,ChrB4,1312039,1314892
ChrA1,163009,167404,ChrB4,1306266,1311675
ChrA1,167885,169823,ChrB4,1303173,1305072
ChrA1,173616,175977,ChrB5,53900,56102
ChrA1,176814,178338,ChrB5,56570,58100
ChrA1,178457,180854,ChrB4,1298431,1301011
ChrA1,181273,182104,ChrB5,58377,59148
ChrA1,182325,183447,ChrB4,1297036,1298161
ChrA1,183619,184825,ChrB5,59669,60851
ChrA1,187420,188152,ChrB4,1294692,1295400
ChrA1,188670,189519,ChrB4,1293368,1294394
ChrA1,190131,192165,ChrB13,192787,194800
ChrA1,192492,193242,ChrB13,194912,195755
ChrA1,193622,194369,ChrB4,1292371,1293091
ChrA1,194499,196848,ChrB4,1289405,1292120
ChrA1,197862,198510,ChrB4,1288214,1288859
ChrA1,198765,199554,ChrB15,630965,631751
ChrA1,199862,203495,ChrB4,1284068,1287938
ChrA1,203817,204732,ChrB15,632163,633120
ChrA1,205012,205294,ChrB15,633281,633566
ChrA1,205566,208452,ChrB15,633838,636757
ChrA1,208672,210334,ChrB15,636938,638558
ChrA1,211299,212568,ChrB15,626627,627980
ChrA1,215304,216177,ChrB12,829488,830364
ChrA1,218591,219680,ChrB7,575397,576504
ChrA1,220145,222500,ChrB12,831115,833539
ChrA1,223317,224913,ChrB12,834351,836163
ChrA1,231110,232115,ChrB12,836349,837357
ChrA1,233821,235501,ChrB7,582989,583892
ChrA1,238734,239409,ChrB2,100370,101156
ChrA1,240152,241346,ChrB12,838065,839253
ChrA1,242520,243228,ChrB12,840320,840914
ChrA1,245081,246380,ChrB7,593595,594705
ChrA1,246643,247255,ChrB7,594985,595837
ChrA1,247870,249628,ChrB7,596692,598621
ChrA1,250871,252191,ChrB8,106054,107368
ChrA1,252274,253204,ChrB11,446798,448036
ChrA1,259864,260296,ChrB11,451433,451988
ChrA1,260626,262306,ChrB11,452200,454078
ChrA1,262439,264356,ChrB16,569335,571378
ChrA1,264784,265393,ChrB6,160534,161200
ChrA1,266916,268077,ChrB5,460525,461740
ChrA1,269552,271256,ChrB16,573017,575102
ChrA1,271515,274203,ChrB7,193706,196403
ChrA1,276332,277484,ChrB16,576551,577358
ChrA1,277879,278677,ChrB7,199209,200142
ChrA1,279950,281165,ChrB7,186058,187339
ChrA1,285227,286244,ChrB12,790675,791806
ChrA1,287030,288167,ChrB13,879062,880232
ChrA1,290001,292035,ChrB4,1508004,1509714
ChrA1,292178,293015,ChrB4,99560,100421
ChrA1,293328,294066,ChrB4,98474,99224
ChrA1,294824,295898,ChrB10,707159,708374
ChrA1,297541,299665,ChrB1,42880,45022
ChrA1,301464,303819,ChrB1,45898,48250
ChrA1,304116,304863,ChrB1,51854,52595
ChrA1,305615,308153,ChrB1,48563,51707
ChrA1,308413,311056,ChrB1,48563,51707
ChrA1,314572,316552,ChrB1,52800,54789
ChrA1,316950,317940,ChrB15,1017879,1018746
ChrA1,318066,320397,ChrB1,54988,56857
ChrA1,320827,323026,ChrB15,1015360,1017652
ChrA1,323381,323657,ChrB1,57028,57385
ChrA1,323998,324361,ChrB1,57517,57850
ChrA1,324490,325018,ChrB1,57949,58462
ChrA1,326529,328080,ChrB15,1013240,1014821
ChrA1,328806,330186,ChrB15,1011188,1012760
ChrA1,331038,333513,ChrB1,58694,61052
ChrA1,334064,334535,ChrB15,1010160,1010889
ChrA1,334827,335322,ChrB15,1009223,1009712
ChrA1,335547,337287,ChrB15,89691,91419
ChrA1,338806,340615,ChrB4,1412372,1414274
ChrA1,344641,345098,ChrB15,930733,931081
ChrA1,345817,350470,ChrB15,925720,930445
ChrA1,351239,352502,ChrB1,92899,94486
ChrA1,352855,353796,ChrB1,94686,95472
ChrA1,354207,355551,ChrB15,921534,922905
ChrA1,355623,359655,ChrB1,95629,99697
ChrA1,359980,360889,ChrB1,100224,101145
ChrA1,361327,365428,ChrB1,101564,105872
ChrA1,369257,371615,ChrB15,918605,921062
ChrA1,374896,375985,ChrB4,892874,893927
ChrA1,376272,378600,ChrB12,600018,602463
ChrA1,379491,381171,ChrB4,887231,888911
ChrA1,382242,382818,ChrB12,604211,604787
ChrA1,383274,385485,ChrB4,884726,886865
ChrA1,391589,392201,ChrB4,1503313,1504900
ChrA1,394996,395902,ChrB4,1503313,1504900
ChrA1,397647,398133,ChrB15,1059530,1059992
ChrA1,400112,400775,ChrB13,397076,397796
ChrA1,400944,401796,ChrB12,717144,717978
ChrA1,404731,405376,ChrB15,681443,682106
ChrA1,406919,407249,ChrB12,721998,722373
ChrA1,407580,408150,ChrB12,724720,725416
ChrA1,408698,409991,ChrB15,684029,685343
ChrA1,411493,412765,ChrB16,590282,591026
ChrA1,415069,416809,ChrB4,688226,690533
ChrA1,417312,419415,ChrB7,781766,783890
ChrA1,420316,421372,ChrB7,827551,828577
ChrA1,421862,424928,ChrB7,824058,826917
ChrA1,425609,426824,ChrB7,410068,411286
