chr1,start1,end1,chr2,start2,end2
ChrA1,19486,21757,ChrB7,450196,452104
ChrA1,22259,24440,ChrB7,452403,454560
ChrA1,25240,27622,ChrB7,454784,457067
ChrA1,27914,28586,ChrB7,457162,457870
ChrA1,29068,29869,ChrB7,458155,458992
ChrA1,30178,30775,ChrB7,459109,459664
ChrA1,30977,32507,ChrB7,459853,461365
ChrA1,33055,33625,ChrB7,475544,476069
ChrA1,33994,36349,ChrB7,476312,478652
ChrA1,37161,40371,ChrB7,461665,464911
ChrA1,41555,42320,ChrB7,474488,475247
ChrA1,42635,44030,ChrB7,472854,474276
ChrA1,47556,50880,ChrB7,469091,472298
ChrA1,51136,53497,ChrB7,466140,468807
ChrA1,58829,62198,ChrB7,485920,489442
ChrA1,62415,63225,ChrB7,489707,490547
ChrA1,63709,64948,ChrB7,490702,491956
ChrA1,65285,67226,ChrB12,675618,677724
ChrA1,67280,69203,ChrB7,492473,494174
ChrA1,77745,81366,ChrB1,143706,147531
ChrA1,81424,84913,ChrB1,147593,151166
ChrA1,85330,86425,ChrB12,776583,777864
ChrA1,86550,87540,ChrB12,765265,766358
ChrA1,87840,90396,ChrB12,766541,769196
ChrA1,90493,92752,ChrB12,769317,771684
ChrA1,92984,97265,ChrB12,771939,776304
ChrA1,97371,98052,ChrB12,778172,778952
ChrA1,98271,99483,ChrB12,779214,780786
ChrA1,100409,100646,ChrB12,781142,781379
ChrA1,101641,102301,ChrB12,782173,782896
ChrA1,104864,106316,ChrB16,47335,48802
ChrA1,106865,108791,ChrB16,44550,46506
ChrA1,109008,110616,ChrB16,26610,28164
ChrA1,111479,111689,ChrB16,30078,30267
ChrA1,112036,114442,ChrB16,30481,32803
ChrA1,114808,116638,ChrB16,33012,34947
ChrA1,117019,119572,ChrB16,35235,37845
ChrA1,121066,122908,ChrB16,41042,42869
ChrA1,125779,126661,ChrB16,921859,922777
ChrA1,127505,129101,ChrB3,297048,298605
ChrA1,136261,137695,ChrB7,448763,449957
ChrA1,145387,146833,ChrB7,448763,449957
ChrA1,147312,149436,ChrB7,446411,448535
ChrA1,149749,152194,ChrB7,443641,446143
ChrA1,153154,154933,ChrB7,441280,442909
ChrA1,155861,156342,ChrB7,439090,439638
ChrA1,158779,159037,ChrB7,436569,436833
ChrA1,159191,159914,ChrB7,435624,436401
ChrA1,161326,162601,ChrB7,431547,433062
