species,chr,start,end
Tp,ChrA1,0,1377933
Tp,ChrA2,0,1164785
Tp,ChrA3,0,1096211
Tp,ChrA4,0,1042069
Tp,ChrA5,0,854350
Tp,ChrA6,0,815984
Tp,ChrA7,0,808783
Tp,ChrA8,0,752451
Tp,ChrA9,0,740259
Tp,ChrA10,0,713392
Tp,ChrA11,0,536385
Tp,ChrA12,0,504740
Tp,ChrA13,0,452480
Tp,ChrA14,0,432466
Tp,ChrA15,0,413379
Tp,ChrA16,0,394523
Sc,ChrB1,0,230218
Sc,ChrB2,0,813184
Sc,ChrB3,0,316620
Sc,ChrB4,0,1531933
Sc,ChrB5,0,576874
Sc,ChrB6,0,270161
Sc,ChrB7,0,1090940
Sc,ChrB8,0,562643
Sc,ChrB9,0,439888
Sc,ChrB10,0,745751
Sc,ChrB11,0,666816
Sc,ChrB12,0,1078177
Sc,ChrB13,0,924431
Sc,ChrB14,0,784333
Sc,ChrB15,0,1091291
Sc,ChrB16,0,948066
