species,chr,start,end
Ng,ChrA1,0,491328
Ng,ChrA2,0,502101
Ng,ChrA3,0,558804
Ng,ChrA4,0,651701
Ng,ChrA5,0,687738
Ng,ChrA6,0,927101
Ng,ChrA7,0,992211
Ng,ChrA8,0,1050361
Ng,ChrA9,0,1100349
Ng,ChrA10,0,1195132
Ng,ChrA11,0,1302831
Ng,ChrA12,0,1455689
Ng,ChrA13,0,1402899
Sc,ChrB1,0,230218
Sc,ChrB2,0,813184
Sc,ChrB3,0,316620
Sc,ChrB4,0,1531933
Sc,ChrB5,0,576874
Sc,ChrB6,0,270161
Sc,ChrB7,0,1090940
Sc,ChrB8,0,562643
Sc,ChrB9,0,439888
Sc,ChrB10,0,745751
Sc,ChrB11,0,666816
Sc,ChrB12,0,1078177
Sc,ChrB13,0,924431
Sc,ChrB14,0,784333
Sc,ChrB15,0,1091291
Sc,ChrB16,0,948066
